Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Puppervirus Pupper,2956343,Viruses;Uroviricota;Caudoviricetes;;;Puppervirus,280,0.121864,0.124663
Purivirus UFJFPfDIW6,3060664,Viruses;Uroviricota;Caudoviricetes;;;Purivirus,74,0.0322068,0.0329466
Purkyvirus purky,2956344,Viruses;Uroviricota;Caudoviricetes;;;Purkyvirus,65,0.0282898,0.0289396
Pushchinovirus B83,2843751,Viruses;Uroviricota;Caudoviricetes;;;Pushchinovirus,3,0.00130568,0.00133567
Pylasvirus KpCHEMY26,2845089,Viruses;Uroviricota;Caudoviricetes;;Schitoviridae;Pylasvirus,7,0.00304659,0.00311657
Pylasvirus pylas,2845095,Viruses;Uroviricota;Caudoviricetes;;Schitoviridae;Pylasvirus,14,0.00609318,0.00623314
Pyrococcus abyssi virus 1,425386,Viruses;;;;;,6,0.00261136,0.00267134
Pythium polare RNA virus 2,2137354,Viruses;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Orthototiviridae;,1,0.000435227,0.000445224
Pythium polare bunya-like RNA virus 1,2137352,Viruses;;;;;,1,0.000435227,0.000445224
Qadamvirus SB28,2733953,Viruses;Uroviricota;Caudoviricetes;Autographivirales;;Qadamvirus,5,0.00217614,0.00222612
Qingdaovirus J21,2734135,Viruses;Uroviricota;Caudoviricetes;;;Qingdaovirus,34,0.0147977,0.0151376
Qinghai Himalayan marmot astrovirus 1,1961665,Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,1,0.000435227,0.000445224
Qinghai Himalayan marmot astrovirus 2,1961666,Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,1,0.000435227,0.000445224
Quadragintavirus ev015,2956345,Viruses;Uroviricota;Caudoviricetes;;Peduoviridae;Quadragintavirus,41,0.0178443,0.0182542
Quadragintavirus ev040,2956346,Viruses;Uroviricota;Caudoviricetes;;Peduoviridae;Quadragintavirus,1,0.000435227,0.000445224
