contig_id,length_bp,length_kb,mapped_reads,RPM,RPKM
contig_190,7959,7.959,14,94.53,11.88
contig_317,6826,6.826,12,81.02,11.87
contig_265,5132,5.132,9,60.77,11.84
contig_1031,8569,8.569,15,101.28,11.82
contig_503,23469,23.469,41,276.83,11.8
contig_444,5723,5.723,10,67.52,11.8
contig_407,5731,5.731,10,67.52,11.78
contig_409,9176,9.176,16,108.03,11.77
contig_600,9779,9.779,17,114.78,11.74
contig_648,5757,5.757,10,67.52,11.73
contig_807,5180,5.18,9,60.77,11.73
contig_166,8649,8.649,15,101.28,11.71
contig_37,14428,14.428,25,168.8,11.7
contig_636,4043,4.043,7,47.26,11.69
contig_633,7515,7.515,13,87.78,11.68
contig_606,11572,11.572,20,135.04,11.67
contig_165,9842,9.842,17,114.78,11.66
contig_893,20853,20.853,36,243.07,11.66
contig_1018,8704,8.704,15,101.28,11.64
contig_273,8137,8.137,14,94.53,11.62
contig_874,6981,6.981,12,81.02,11.61
contig_542,16880,16.88,29,195.81,11.6
contig_200,18640,18.64,32,216.06,11.59
contig_837,9337,9.337,16,108.03,11.57
contig_608,11101,11.101,19,128.29,11.56
contig_711,5270,5.27,9,60.77,11.53
contig_1131,21096,21.096,36,243.07,11.52
contig_1020,3526,3.526,6,40.51,11.49
contig_497,19412,19.412,33,222.82,11.48
contig_259,5885,5.885,10,67.52,11.47
contig_396,11212,11.212,19,128.29,11.44
contig_180,8852,8.852,15,101.28,11.44
contig_1035,29515,29.515,50,337.6,11.44
contig_402,20073,20.073,34,229.57,11.44
contig_236,15409,15.409,26,175.55,11.39
contig_1181,10677,10.677,18,121.54,11.38
contig_966,7159,7.159,12,81.02,11.32
contig_410,5372,5.372,9,60.77,11.31
contig_819,8965,8.965,15,101.28,11.3
contig_359,16761,16.761,28,189.06,11.28
contig_599,7780,7.78,13,87.78,11.28
contig_1011,11977,11.977,20,135.04,11.27
contig_304,5996,5.996,10,67.52,11.26
contig_1034,9018,9.018,15,101.28,11.23
contig_133,17451,17.451,29,195.81,11.22
contig_646,8443,8.443,14,94.53,11.2
contig_251,10271,10.271,17,114.78,11.18
contig_319,10332,10.332,17,114.78,11.11
contig_933,23748,23.748,39,263.33,11.09
contig_575,4885,4.885,8,54.02,11.06
contig_1159,17718,17.718,29,195.81,11.05
contig_973,11009,11.009,18,121.54,11.04
contig_944,6120,6.12,10,67.52,11.03
contig_18,15299,15.299,25,168.8,11.03
contig_938,4916,4.916,8,54.02,10.99
contig_1105,28350,28.35,46,310.59,10.96
contig_752,6792,6.792,11,74.27,10.94
contig_991,11127,11.127,18,121.54,10.92
contig_878,34625,34.625,56,378.11,10.92
contig_492,5573,5.573,9,60.77,10.9
contig_1053,8674,8.674,14,94.53,10.9
contig_362,14258,14.258,23,155.3,10.89
contig_975,9920,9.92,16,108.03,10.89
contig_338,10578,10.578,17,114.78,10.85
contig_98,8722,8.722,14,94.53,10.84
contig_668,10602,10.602,17,114.78,10.83
contig_921,18092,18.092,29,195.81,10.82
contig_514,8112,8.112,13,87.78,10.82
contig_282,9378,9.378,15,101.28,10.8
contig_278,5641,5.641,9,60.77,10.77
contig_460,14413,14.413,23,155.3,10.77
contig_169,6274,6.274,10,67.52,10.76
contig_398,3146,3.146,5,33.76,10.73
contig_978,5034,5.034,8,54.02,10.73
contig_795,8859,8.859,14,94.53,10.67
contig_107,18981,18.981,30,202.56,10.67
contig_288,7606,7.606,12,81.02,10.65
contig_483,5710,5.71,9,60.77,10.64
contig_768,3817,3.817,6,40.51,10.61
contig_292,11466,11.466,18,121.54,10.6
contig_13,14721,14.721,23,155.3,10.55
contig_682,13444,13.444,21,141.79,10.55
contig_591,5773,5.773,9,60.77,10.53
contig_212,5779,5.779,9,60.77,10.52
contig_455,16703,16.703,26,175.55,10.51
contig_422,6428,6.428,10,67.52,10.5
contig_261,5150,5.15,8,54.02,10.49
contig_54,5169,5.169,8,54.02,10.45
contig_404,5814,5.814,9,60.77,10.45
contig_451,12302,12.302,19,128.29,10.43
contig_916,5186,5.186,8,54.02,10.42
contig_235,10363,10.363,16,108.03,10.42
contig_481,9123,9.123,14,94.53,10.36
contig_114,11751,11.751,18,121.54,10.34
contig_757,7184,7.184,11,74.27,10.34
contig_1099,18947,18.947,29,195.81,10.33
contig_994,7188,7.188,11,74.27,10.33
contig_684,19684,19.684,30,202.56,10.29
contig_325,8536,8.536,13,87.78,10.28
contig_489,5917,5.917,9,60.77,10.27
contig_1041,21690,21.69,33,222.82,10.27
contig_979,9867,9.867,15,101.28,10.26
contig_164,17149,17.149,26,175.55,10.24
contig_469,5995,5.995,9,60.77,10.14
contig_1002,11327,11.327,17,114.78,10.13
contig_546,9355,9.355,14,94.53,10.1
contig_488,16726,16.726,25,168.8,10.09
contig_323,4687,4.687,7,47.26,10.08
contig_810,4701,4.701,7,47.26,10.05
contig_232,6725,6.725,10,67.52,10.04
contig_717,12806,12.806,19,128.29,10.02
contig_87,6109,6.109,9,60.77,9.95
contig_41,15650,15.65,23,155.3,9.92
contig_517,8177,8.177,12,81.02,9.91
contig_297,7503,7.503,11,74.27,9.9
contig_210,3425,3.425,5,33.76,9.86
contig_505,9595,9.595,14,94.53,9.85
contig_1029,13108,13.108,19,128.29,9.79
contig_572,3447,3.447,5,33.76,9.79
contig_923,3462,3.462,5,33.76,9.75
contig_44,9750,9.75,14,94.53,9.7
contig_697,14649,14.649,21,141.79,9.68
contig_213,10463,10.463,15,101.28,9.68
contig_718,8389,8.389,12,81.02,9.66
contig_603,8397,8.397,12,81.02,9.65
contig_397,5600,5.6,8,54.02,9.65
contig_64,17505,17.505,25,168.8,9.64
contig_435,14765,14.765,21,141.79,9.6
contig_522,7762,7.762,11,74.27,9.57
contig_416,7807,7.807,11,74.27,9.51
contig_206,12159,12.159,17,114.78,9.44
contig_931,7184,7.184,10,67.52,9.4
contig_1026,9358,9.358,13,87.78,9.38
contig_876,6517,6.517,9,60.77,9.32
contig_602,13797,13.797,19,128.29,9.3
contig_1015,3633,3.633,5,33.76,9.29
contig_111,5088,5.088,7,47.26,9.29
contig_173,8001,8.001,11,74.27,9.28
contig_896,5125,5.125,7,47.26,9.22
contig_866,5161,5.161,7,47.26,9.16
contig_344,6669,6.669,9,60.77,9.11
contig_833,12652,12.652,17,114.78,9.07
contig_260,6700,6.7,9,60.77,9.07
contig_786,5986,5.986,8,54.02,9.02
contig_662,5283,5.283,7,47.26,8.95
contig_699,10709,10.709,14,94.53,8.83
contig_857,3828,3.828,5,33.76,8.82
contig_1037,14646,14.646,19,128.29,8.76
contig_1001,5397,5.397,7,47.26,8.76
contig_713,9276,9.276,12,81.02,8.73
contig_446,5449,5.449,7,47.26,8.67
contig_720,5462,5.462,7,47.26,8.65
contig_615,3930,3.93,5,33.76,8.59
contig_1008,3157,3.157,4,27.01,8.55
contig_698,7936,7.936,10,67.52,8.51
contig_597,5572,5.572,7,47.26,8.48
contig_370,6421,6.421,8,54.02,8.41
contig_379,10444,10.444,13,87.78,8.4
contig_519,6446,6.446,8,54.02,8.38
contig_125,6446,6.446,8,54.02,8.38
contig_300,9683,9.683,12,81.02,8.37
contig_778,5694,5.694,7,47.26,8.3
contig_5,14655,14.655,18,121.54,8.29
contig_340,12253,12.253,15,101.28,8.27
contig_779,5725,5.725,7,47.26,8.26
contig_305,4963,4.963,6,40.51,8.16
contig_981,5831,5.831,7,47.26,8.11
contig_970,5882,5.882,7,47.26,8.04
contig_421,6733,6.733,8,54.02,8.02
contig_722,3368,3.368,4,27.01,8.02
contig_706,9270,9.27,11,74.27,8.01
contig_930,5077,5.077,6,40.51,7.98
contig_1081,22855,22.855,27,182.3,7.98
contig_271,6783,6.783,8,54.02,7.96
contig_327,4242,4.242,5,33.76,7.96
contig_912,6053,6.053,7,47.26,7.81
contig_974,6048,6.048,7,47.26,7.81
contig_321,5260,5.26,6,40.51,7.7
contig_847,3518,3.518,4,27.01,7.68
contig_1014,5284,5.284,6,40.51,7.67
contig_1033,8923,8.923,10,67.52,7.57
contig_864,5364,5.364,6,40.51,7.55
contig_38,9019,9.019,10,67.52,7.49
contig_36,4589,4.589,5,33.76,7.36
contig_630,8289,8.289,9,60.77,7.33
contig_748,3691,3.691,4,27.01,7.32
contig_624,14777,14.777,16,108.03,7.31
contig_1054,3708,3.708,4,27.01,7.28
contig_922,5569,5.569,6,40.51,7.27
contig_929,5637,5.637,6,40.51,7.19
contig_239,6748,6.748,7,47.26,7.0
contig_447,3857,3.857,4,27.01,7.0
contig_838,6138,6.138,6,40.51,6.6
contig_871,8428,8.428,8,54.02,6.41
contig_280,5285,5.285,5,33.76,6.39
contig_1004,5290,5.29,5,33.76,6.38
contig_27,9659,9.659,9,60.77,6.29
contig_854,6539,6.539,6,40.51,6.2
contig_901,5500,5.5,5,33.76,6.14
contig_840,3452,3.452,3,20.26,5.87
contig_382,4660,4.66,4,27.01,5.8
contig_635,4724,4.724,4,27.01,5.72
contig_695,3623,3.623,3,20.26,5.59
contig_431,7434,7.434,6,40.51,5.45
contig_808,3810,3.81,3,20.26,5.32
contig_1024,5086,5.086,4,27.01,5.31
contig_813,3971,3.971,3,20.26,5.1
contig_865,4004,4.004,3,20.26,5.06
