contig_id,length_bp,length_kb,mapped_reads,RPM,RPKM
contig_715,5414,5.414,36,243.07,44.9
contig_763,17207,17.207,114,769.73,44.73
contig_1069,165536,165.536,1090,7359.69,44.46
contig_1191,43105,43.105,281,1897.32,44.02
contig_1173,34963,34.963,227,1532.71,43.84
contig_585,19937,19.937,129,871.01,43.69
contig_1137,12730,12.73,82,553.66,43.49
contig_1042,9965,9.965,64,432.13,43.36
contig_867,8440,8.44,54,364.61,43.2
contig_1206,39875,39.875,254,1715.01,43.01
contig_935,35955,35.955,228,1539.46,42.82
contig_430,55626,55.626,352,2376.71,42.73
contig_898,13439,13.439,85,573.92,42.71
contig_816,77352,77.352,486,3281.48,42.42
contig_1158,93617,93.617,588,3970.18,42.41
contig_311,90753,90.753,561,3787.88,41.74
contig_29,3610,3.61,22,148.54,41.15
contig_378,34794,34.794,212,1431.43,41.14
