LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	ANI_CI95	COVERED_SIG_LEN	BEST_SIG_COV	DEPTH	REL_ABUNDANCE
class	Alphaproteobacteria	28211	37086	17863361	0.989188	5071614	0.172355	8.698748	0.166993
class	Bacilli	91061	16839	11135418	0.986691	1504424	0.524479	8.075469	0.155028
class	Actinomycetes	1760	28659	9195667	0.989669	4861059	0.300710	5.989198	0.114977
class	Clostridia	186801	8066	8055270	0.987359	1931775	0.292070	3.052526	0.058600
class	Flavobacteriia	117743	6682	3088854	0.988957	1629209	0.293497	1.934529	0.037138
class	Chlorobiia	191410	2271	715956	0.987935	279305	0.292582	0.749989	0.014398
class	Epsilonproteobacteria	3031852	1402	413171	0.988450	261626	0.145268	0.439905	0.008445
class	Sphingobacteriia	117747	1299	1329530	0.985635	198681	0.049952	0.396977	0.007621
class	Desulfovibrionia	3031449	781	1159677	0.981583	44578	0.011215	0.343335	0.006591
class	Coriobacteriia	84998	918	796643	0.986995	407782	0.147950	0.342234	0.006570
class	Anaerolineae	292625	592	831062	0.986620	657053	0.270363	0.341965	0.006565
class	Bacteroidia	200643	1345	828277	0.987638	416780	0.058735	0.312173	0.005993
class	Planctomycetia	203683	1764	1239358	0.986546	766648	0.112712	0.201035	0.003859
class	Desulfuromonadia	3031651	692	394310	0.986667	287526	0.052126	0.145636	0.002796
class	Deinococci	188787	780	329645	0.987091	168236	0.038872	0.140487	0.002697
class	Cytophagia	768503	587	658083	0.986375	411242	0.089191	0.135901	0.002609
class	Desulfobulbia	3031451	502	375172	0.987343	329076	0.106040	0.120893	0.002321
class	Syntrophobacteria	3024408	335	305124	0.987419	289709	0.065506	0.093454	0.001794
class	Negativicutes	909932	220	145280	0.974863	22021	0.030014	0.087831	0.001686
class	Fusobacteriia	203490	115	22303	0.984213	20231	0.026113	0.062002	0.001190
class	Desulfobacteria	3024418	331	316726	0.985759	303150	0.048699	0.050880	0.000977
class	Myxococcia	32015	259	51060	0.986804	45231	0.029762	0.037011	0.000711
class	Thermoleophilia	1497346	244	65142	0.987921	60927	0.024624	0.026327	0.000505
class	Gemmatimonadetes	219685	128	87597	0.987441	85203	0.022589	0.023223	0.000446
class	Bdellovibrionia	3031418	37	55945	0.984224	54389	0.021849	0.022474	0.000431
class	Polyangiales - no_c_rank	Polyangiales - no_c_rank	324	184517	0.987757	177519	0.020755	0.021573	0.000414
class	Tissierellia	1737404	25	32544	0.979658	32544	0.015260	0.015260	0.000293
class	Verrucomicrobiae	203494	72	57982	0.986649	57982	0.013232	0.013232	0.000254
class	Spirochaetia	203692	13	16074	0.969977	16074	0.006434	0.006434	0.000124
class	Cyanophyceae	3028117	6	1426	0.765764	1426	0.003408	0.003555	0.000068
class	Haliangiales - no_c_rank	Haliangiales - no_c_rank	50	20019	0.964221	20019	0.003481	0.003481	0.000067
class	Chitinophagia	1853228	6	6473	0.857406	6473	0.001636	0.001636	0.000031
class	Rubrobacteria	84995	4	1379	0.537901	1379	0.000395	0.000672	0.000013
class	Syntrophia	3031648	1	624	0.516551	624	0.000214	0.000214	0.000004
class	Opitutae	414999	1	637	0.511243	637	0.000140	0.000140	0.000003
order	Lactobacillales	186826	15282	9835721	0.986691	1337367	0.524479	7.350881	0.141118
order	Burkholderiales	80840	24796	9131856	0.989794	2844517	0.190508	4.721112	0.090633
order	Hyphomicrobiales	356	19102	8215891	0.989070	2610681	0.133058	4.282486	0.082212
order	Eubacteriales	186802	8066	8055270	0.987359	1931775	0.292070	3.052526	0.058600
order	Neisseriales	206351	8779	4129753	0.987260	733173	0.233427	2.756667	0.052921
order	Micrococcales	85006	11155	3605633	0.989669	1389340	0.216790	2.680536	0.051459
order	Rhodobacterales	204455	9967	5193208	0.989188	554254	0.065553	2.446900	0.046974
order	Xanthomonadales	135614	4096	1652624	0.988305	695845	0.119934	2.290720	0.043976
order	Moraxellales	2887326	6262	3133986	0.987517	164307	0.026218	2.074489	0.039825
order	Enterobacterales	91347	5606	2063251	0.988701	870180	0.134488	2.033260	0.039033
order	Flavobacteriales	200644	6682	3088854	0.988957	1629209	0.293497	1.934529	0.037138
order	Pseudomonadales	72274	5943	1461596	0.989049	571996	0.065699	1.419183	0.027245
order	Sphingomonadales	204457	5565	2419199	0.987698	1376194	0.172355	1.290670	0.024777
order	Propionibacteriales	85009	5405	1725789	0.989041	1251852	0.147209	0.968258	0.018588
order	Mycobacteriales	85007	5711	1681485	0.989266	848029	0.146538	0.880311	0.016900
order	Chlorobiales	191411	2271	715956	0.987935	279305	0.292582	0.749989	0.014398
order	Bacillales	1385	1557	1299697	0.977832	167057	0.016977	0.724588	0.013910
order	Rhodocyclales	206389	3224	1152608	0.988021	573872	0.261552	0.713847	0.013704
order	Aeromonadales	135624	2071	1714226	0.986165	949638	0.353571	0.679127	0.013037
order	Pasteurellales	135625	1710	942526	0.983183	172381	0.020158	0.628333	0.012062
order	Rhodospirillales	204441	2034	1860953	0.987229	368459	0.043392	0.597006	0.011461
order	Nitrosomonadales	32003	1939	1017629	0.987351	761870	0.164986	0.575581	0.011050
order	Bifidobacteriales	85004	725	193676	0.989260	106466	0.300710	0.572823	0.010997
order	Cellvibrionales	1706369	1833	1480580	0.869535	7896	0.002093	0.538064	0.010329
order	Campylobacterales	213849	1402	413171	0.988450	261626	0.145268	0.439905	0.008445
order	Sphingobacteriales	200666	1299	1329530	0.985635	198681	0.049952	0.396977	0.007621
order	Actinomycetales	2037	1211	593748	0.987700	349911	0.199406	0.365356	0.007014
order	Desulfovibrionales	213115	781	1159677	0.981583	44578	0.011215	0.343335	0.006591
order	Anaerolineales	292629	592	831062	0.986620	657053	0.270363	0.341965	0.006565
order	Eggerthellales	1643822	911	793350	0.986995	404489	0.147950	0.339045	0.006509
order	Vibrionales	135623	950	893893	0.985951	397409	0.143353	0.326571	0.006269
order	Bacteroidales	171549	1320	808757	0.987638	402445	0.058735	0.307585	0.005905
order	Immundisolibacterales	1934945	1483	503550	0.988309	310216	0.182314	0.295937	0.005681
order	Acidiferrobacterales	1692040	989	561557	0.987775	386407	0.199271	0.289597	0.005559
order	Sporichthyales	2495578	1747	674723	0.986988	433033	0.176720	0.275353	0.005286
order	Thiotrichales	72273	839	420228	0.988223	307655	0.188057	0.256946	0.004933
order	Legionellales	118969	505	608597	0.986257	207595	0.064846	0.190106	0.003650
order	Methylococcales	135618	995	510524	0.939527	13647	0.003345	0.161575	0.003102
order	Cytophagales	768507	587	658083	0.986375	411242	0.089191	0.135901	0.002609
order	Geobacterales	3031668	640	360471	0.986667	253984	0.052126	0.134546	0.002583
order	Planctomycetales	112	972	752299	0.986546	645819	0.112712	0.131295	0.002521
order	Desulfobulbales	3024411	502	375172	0.987343	329076	0.106040	0.120893	0.002321
order	Oceanospirillales	135619	557	248520	0.987729	218628	0.053991	0.108988	0.002092
order	Chromatiales	135613	240	224952	0.985465	117998	0.030974	0.097068	0.001863
order	Deinococcales	118964	588	225503	0.987091	76970	0.031376	0.095860	0.001840
order	Syntrophobacterales	213462	335	305124	0.987419	289709	0.065506	0.093454	0.001794
order	Caulobacterales	204458	396	166248	0.987285	161660	0.023862	0.077489	0.001488
order	Fusobacteriales	203491	115	22303	0.984213	20231	0.026113	0.062002	0.001190
order	Nakamurellales	1643684	557	183481	0.987272	158030	0.053151	0.061711	0.001185
order	Isosphaerales	2691356	656	400981	0.972870	35425	0.004610	0.057639	0.001107
order	Pseudonocardiales	85010	750	163009	0.980757	27986	0.012513	0.051281	0.000984
order	Desulfobacterales	213118	331	316726	0.985759	303150	0.048699	0.050880	0.000977
order	Trueperales	2762275	192	104142	0.986896	91266	0.038872	0.044627	0.000857
order	Veillonellales	1843489	26	8554	0.974863	6521	0.030014	0.042739	0.000820
order	Selenomonadales	909929	185	126186	0.772440	7809	0.002123	0.040229	0.000772
order	Myxococcales	29	259	51060	0.986804	45231	0.029762	0.037011	0.000711
order	Glycomycetales	85014	383	139649	0.987177	133718	0.033481	0.034966	0.000671
order	Casimicrobiaceae - no_o_rank	Casimicrobiaceae - no_o_rank	153	101735	0.988738	96443	0.030369	0.032036	0.000615
order	Solirubrobacterales	588673	244	65142	0.987921	60927	0.024624	0.026327	0.000505
order	Kitasatosporales	85011	224	40262	0.982676	22473	0.014065	0.026166	0.000502
order	Gemmatimonadales	219686	128	87597	0.987441	85203	0.022589	0.023223	0.000446
order	Bdellovibrionales	213481	37	55945	0.984224	54389	0.021849	0.022474	0.000431
order	Polyangiales	3031712	324	184517	0.987757	177519	0.020755	0.021573	0.000414
order	Jiangellales	1217098	107	51865	0.958494	12885	0.004981	0.020049	0.000385
order	Kineosporiales	622452	219	38420	0.975417	27015	0.013302	0.018918	0.000363
order	Streptosporangiales	85012	272	59476	0.987507	57450	0.015132	0.015666	0.000301
order	Tissierellales	1737405	25	32544	0.979658	32544	0.015260	0.015260	0.000293
order	Frankiales	85013	130	26191	0.983330	24611	0.012505	0.013308	0.000255
order	Verrucomicrobiales	48461	72	57982	0.986649	57982	0.013232	0.013232	0.000254
order	Gemmatales	2691355	131	82833	0.984749	82159	0.011232	0.011464	0.000220
order	Desulfuromonadales	69541	52	33839	0.978170	33542	0.007396	0.011090	0.000213
order	Alteromonadales	135622	33	23188	0.918924	20082	0.004163	0.010792	0.000207
order	Spirochaetales	136	13	16074	0.969977	16074	0.006434	0.006434	0.000124
order	Acidaminococcales	1843488	9	10540	0.820053	7691	0.001797	0.004864	0.000093
order	Marinilabiliales	1970189	25	19520	0.952633	14335	0.003369	0.004588	0.000088
order	Maricaulales	2800059	22	7862	0.506376	366	0.000195	0.004197	0.000081
order	Chroococcales	1118	6	1426	0.765764	1426	0.003408	0.003555	0.000068
order	Haliangiales	3031714	50	20019	0.964221	20019	0.003481	0.003481	0.000067
order	Micromonosporales	85008	43	10802	0.936310	10802	0.003132	0.003234	0.000062
order	Coriobacteriales	84999	7	3293	0.859906	3293	0.003190	0.003190	0.000061
order	Chitinophagales	1853229	6	6473	0.857406	6473	0.001636	0.001636	0.000031
order	Catenulisporales	414714	20	7458	0.843907	7458	0.001261	0.001261	0.000024
order	Rubrobacterales	84996	4	1379	0.537901	1379	0.000395	0.000672	0.000013
order	Pirellulales	2691354	5	3245	0.668537	3245	0.000637	0.000637	0.000012
order	Syntrophales	2914038	1	624	0.516551	624	0.000214	0.000214	0.000004
order	Opitutales	415000	1	637	0.511243	637	0.000140	0.000140	0.000003
order	Nevskiales	1775403	1	187	0.501735	187	0.000072	0.000072	0.000001
family	Streptococcaceae	1300	5339	3161966	0.986691	177411	0.066815	3.239633	0.062192
family	Carnobacteriaceae	186828	4974	4454832	0.986095	995744	0.524479	2.627312	0.050437
family	Comamonadaceae	80864	15438	4419810	0.989794	919912	0.147965	2.451781	0.047068
family	Paracoccaceae	31989	9447	5079041	0.989188	453530	0.065553	2.355497	0.045219
family	Neisseriaceae	481	7627	3547335	0.987260	442545	0.182917	2.234363	0.042894
family	Xanthomonadaceae	32033	3260	1265880	0.988305	370486	0.119934	2.112055	0.040546
family	Moraxellaceae	468	6262	3133986	0.987517	164307	0.026218	2.074489	0.039825
family	Lachnospiraceae	186803	4061	4224888	0.987270	1361307	0.292070	1.818054	0.034902
family	Lactobacillaceae	33958	4967	2218736	0.968581	164025	0.017257	1.483843	0.028486
family	Weeksellaceae	2762318	4628	2085007	0.988597	959203	0.293497	1.427590	0.027406
family	Pseudomonadaceae	135621	5943	1461596	0.989049	571996	0.065699	1.419183	0.027245
family	Enterobacteriaceae	543	2784	931450	0.988701	571760	0.134488	1.283131	0.024633
family	Oscillospiraceae	216572	3449	3382503	0.987359	221591	0.071579	1.109703	0.021303
family	Sphingomonadaceae	41297	4630	1966361	0.987698	986671	0.172355	1.024253	0.019663
family	Microbacteriaceae	85023	4415	1334724	0.989669	779086	0.159343	0.978788	0.018790
family	Brucellaceae	118882	719	462603	0.962496	18252	0.011875	0.867419	0.016652
family	Chlorobiaceae	191412	2271	715956	0.987935	279305	0.292582	0.749989	0.014398
family	Zoogloeaceae	2008794	3178	1137634	0.988021	563664	0.261552	0.706549	0.013564
family	Pleomorphomonadaceae	2843308	3621	2397825	0.984289	48143	0.014077	0.701145	0.013460
family	Aeromonadaceae	84642	2071	1714226	0.986165	949638	0.353571	0.679127	0.013037
family	Micrococcaceae	1268	1212	873731	0.933794	27136	0.011463	0.657299	0.012618
family	Methylobacteriaceae	119045	2512	1447181	0.987142	688587	0.100503	0.655446	0.012583
family	Pasteurellaceae	712	1710	942526	0.983183	172381	0.020158	0.628333	0.012062
family	Promicromonosporaceae	85017	3210	822187	0.989049	274858	0.216790	0.614960	0.011806
family	Bifidobacteriaceae	31953	725	193676	0.989260	106466	0.300710	0.572823	0.010997
family	Rhizobiaceae	82115	2702	735952	0.988041	160701	0.051969	0.540606	0.010378
family	Halieaceae	1706372	1831	1478442	0.869535	5758	0.002093	0.537438	0.010317
family	Alcaligenaceae	506	1291	1152035	0.986272	813697	0.190508	0.537166	0.010312
family	Listeriaceae	186820	1053	1133241	0.977832	161948	0.016977	0.520970	0.010001
family	Flavobacteriaceae	49546	2054	1003847	0.988957	670006	0.167656	0.506939	0.009732
family	Propionibacteriaceae	31957	2370	1022619	0.988259	811608	0.147209	0.484134	0.009294
family	Burkholderiaceae	119060	2400	786439	0.987415	308524	0.043573	0.466038	0.008947
family	Mycobacteriaceae	1762	3719	870587	0.988849	366805	0.098491	0.458330	0.008799
family	Nocardioidaceae	85015	2725	613018	0.989041	353640	0.103967	0.458257	0.008797
family	Arcobacteraceae	2808963	1400	412633	0.988450	261088	0.145268	0.439451	0.008436
family	Chromobacteriaceae	1499392	729	302691	0.986305	88169	0.233427	0.421176	0.008085
family	Nitrobacteraceae	41294	2375	741244	0.965529	32579	0.007884	0.397047	0.007622
family	Sphingobacteriaceae	84566	1299	1329530	0.985635	198681	0.049952	0.396977	0.007621
family	Acetobacteraceae	433	1038	1110705	0.987229	110770	0.025852	0.386739	0.007424
family	Yersiniaceae	1903411	1766	529718	0.983722	117140	0.022268	0.386493	0.007420
family	Actinomycetaceae	2049	1211	593748	0.987700	349911	0.199406	0.365356	0.007014
family	Desulfovibrionaceae	194924	781	1159677	0.981583	44578	0.011215	0.343335	0.006591
family	Anaerolineaceae	292628	592	831062	0.986620	657053	0.270363	0.341965	0.006565
family	Erwiniaceae	1903409	997	593866	0.983831	176069	0.024011	0.340790	0.006542
family	Eggerthellaceae	1643826	911	793350	0.986995	404489	0.147950	0.339045	0.006509
family	Xylophilus - no_f_rank	Xylophilus - no_f_rank	940	826561	0.945152	10099	0.004040	0.330681	0.006348
family	Vibrionaceae	641	950	893893	0.985951	397409	0.143353	0.326571	0.006269
family	Gallionellaceae	90627	1003	513409	0.987063	396593	0.164986	0.315557	0.006058
family	Immundisolibacteraceae	1934946	1483	503550	0.988309	310216	0.182314	0.295937	0.005681
family	Thiomonas - no_f_rank	Thiomonas - no_f_rank	1662	442850	0.988436	274695	0.157021	0.294157	0.005647
family	Sutterellaceae	995019	752	608236	0.985247	126241	0.040376	0.293541	0.005635
family	Acidiferrobacteraceae	1692041	989	561557	0.987775	386407	0.199271	0.289597	0.005559
family	Sporichthyaceae	85033	1747	674723	0.986988	433033	0.176720	0.275353	0.005286
family	Corynebacteriaceae	1653	952	398953	0.987154	224980	0.146538	0.264105	0.005070
family	Erythrobacteraceae	335929	905	439004	0.987642	389044	0.125383	0.260234	0.004996
family	Thiotrichaceae	135617	839	420228	0.988223	307655	0.188057	0.256946	0.004933
family	Aurantimonadaceae	255475	1661	554422	0.988642	228558	0.116083	0.256558	0.004925
family	Phyllobacteriaceae	69277	1349	336056	0.988046	270022	0.133058	0.220288	0.004229
family	Xanthobacteraceae	335928	1503	604120	0.989070	481829	0.086696	0.217030	0.004166
family	Bacillaceae	186817	504	166456	0.737130	5109	0.001973	0.203618	0.003909
