taxonomy_id	count
2786649	19967
2843920	0
2786648	19235
2843919	0
2786411	6590
2842572	0
2843895	0
2786560	45674
2842997	1934
3432109	0
2845947	0
2786268	20741
2846026	0
2786030	7725
2846027	0
2786180	4638
2846025	0
2786073	3649
3432108	0
2845946	0
2786246	2948
3432110	0
2845948	0
2786320	1441
3432107	0
2845945	0
2786055	892
3432106	0
2845944	0
2786056	814
3432105	0
2845943	0
2786047	521
2842650	0
2844092	0
2786379	40307
2842867	1265
2845604	0
2786292	6599
2845605	0
2786809	6060
2845603	0
2786664	5493
3430861	0
2843838	0
2786652	4943
2845600	0
2786071	4858
2845606	0
2786299	4723
2845602	0
2786607	2278
2845601	0
2786497	1995
2845599	0
2786048	1402
2842717	0
2844808	0
1206300	37002
2842780	1301
2845035	0
2786566	23338
2845034	0
2786409	10113
2842855	0
2845575	0
2786410	34647
2842706	0
2844656	0
2786386	34197
2842389	86
2843740	0
2786748	25469
2843739	0
2786537	6126
2843738	0
2786473	2462
2843143	0
2846670	0
2786390	32559
2843022	0
2846168	0
2786523	32442
2842595	0
2843937	0
2786570	30630
2842690	0
2844311	0
2786540	30497
2842581	0
2843906	0
2786107	28819
2843905	0
2786233	1013
2843133	0
2846660	0
2785995	28286
2843046	0
2846231	0
2786487	26852
2842697	0
2844407	0
2786401	26556
2842813	0
2845120	0
2786604	25979
2843088	0
2846443	0
2786402	25614
3152711	0
3428446	0
2845636	0
2786632	25529
3152705	631
3428339	0
2845667	0
2786844	14668
3428338	0
2845666	0
2786182	9613
2842792	0
2845057	0
2786584	21083
2845056	0
2786519	2717
2842799	0
2845065	0
2786568	23685
2842683	0
2844285	0
2786513	23682
2842660	0
2844108	0
2785997	23120
2842558	0
2843858	0
2786555	22293
2842600	0
2843943	0
2786655	22041
2842742	0
2844980	0
2786708	21946
2852980	1
2842883	0
2852597	0
2845643	0
2786184	10394
2842614	0
2852272	0
2844003	0
2786171	8594
2843084	0
2852845	0
2846439	0
2786089	1334
2027243	470
2842930	0
2852653	0
2845718	0
2785984	383
2842678	0
2852347	0
2844279	0
2785991	140
3152861	37
3433009	0
2844067	0
2786699	8456
3433018	0
2844068	0
2786313	8302
3433014	0
2845637	0
2786727	3604
2843092	0
2846447	0
2786728	20245
2842755	0
2845005	0
2786657	20031
3152729	16
3429146	0
2845640	0
2786606	14284
3429147	0
2845665	0
2786615	4543
3429150	0
2845642	0
2786173	826
2842995	274
39804	2590
12027	8527
39803	0
2789016	8180
2842831	0
2845531	0
2786417	19061
2842622	0
2844049	0
1206313	18709
2842932	664
2845725	0
2786242	3111
2845724	0
