taxonomy_id	count
2845036	1232
2844082	1183
2845988	1148
2846383	1067
2846661	1043
2843683	979
2844084	944
2846425	482
2845538	399
2843850	388
2846587	244
2845992	7202116
2845991	4231
2843692	933987
2844277	209405
2844278	3057
2845698	86094
2846665	223
2845702	87
2845565	29333
2845028	21088
2845611	7559
2845610	938
2843672	7171
3433311	197
2844154	5823
2846585	2299
2844083	1808
2846440	1679
3433081	678
3433079	599
3433080	380
2844086	1593
2845012	1244
2846595	1107
2846620	912
3433443	797
2844270	735
2845990	726
2844832	677
2846454	259
2846190	159
2846621	3024379
3428102	497920
3428103	65686
3428101	36243
3428100	20350
3430900	584685
2845617	1432
2844835	336585
2843940	293998
3427819	110670
2843702	80331
2843701	14482
3426403	767
2845869	81374
2845868	309
2843796	67936
2843795	6206
3426016	17743
3426012	6143
3426011	4576
3426013	2256
3426015	2198
3426014	1435
3431674	15899
2845844	12150
2845846	675
2845845	522
3426080	16381
3426079	2245
3426077	1735
3426081	1192
3426083	975
3426078	612
3426082	589
2844284	20094
2844106	16310
2844107	2171
2844105	332
2846676	14479
2843854	10498
2843855	847
2844998	6741
2844996	622
2844997	578
2844999	532
3429881	495
2844994	423
2844995	405
2846410	7761
2846409	542
2845676	7749
2845638	6088
2845482	4000
2845528	1197
2845526	1110
2845527	742
2845525	660
2845529	147
2844979	3811
2845059	3439
2846683	1744
2846684	364
3427631	2054
2844090	1450
2845631	1298
2843849	1124
2844822	1116
2843718	1088
2843691	963
2844983	897
2845119	866
2846172	757
3426328	712
2845064	687
2845978	648
2845751	592
2845003	386
2846662	361
2845556	299
2845681	260
2843946	246
2843904	208
2846166	200
2844820	193
2845118	169
2846624	126
2845021	112
2846669	90
2843949	60
2844657	24
2845069	20
2845112	67506
2843696	39625
2846144	5526
2845039	2522
2846434	533
2843839	531
2845070	10829043
2844652	6921689
2843700	1827
2843699	245
2844651	185
2843698	170
2846450	2449902
3429425	575705
2843802	177452
3429618	113073
3429619	112655
3429550	102889
3429624	85491
3429296	34313
3429533	28642
2843816	24512
3429582	19847
3429588	16519
3429611	16224
3429586	14915
3429631	13485
2843817	10594
2843826	9615
3429579	8584
3429422	8425
3429295	8377
2843819	8179
3429429	7622
3429530	7398
3429431	7085
3429539	6658
2843818	6502
3429597	6239
3429292	6015
3429536	5844
2843798	5803
3429485	5726
2843812	5603
2843804	5542
2843811	4621
2843815	4435
2843827	4369
3429294	4281
2843810	4193
3429548	4099
2843820	3914
3429562	3787
3429628	3761
3429575	3649
3429535	3528
2843823	3514
3429497	3404
2843809	3290
2843806	3253
3429614	3097
3429471	3088
3429600	2946
3429625	2774
3429559	2729
2843825	2628
3429561	2520
3429424	2435
3429576	2407
2843799	2321
2843805	2288
3429587	2258
3429426	2230
3429604	1959
3429613	1849
3429626	1837
2843813	1710
2843803	1706
3429470	1703
3429578	1678
3429602	1654
3429564	1562
2843797	1548
3429621	1507
3429594	1481
3429551	1481
3429549	1471
3429620	1449
3429435	1402
3429490	1394
3429601	1253
3429546	1245
3429563	1237
3429468	1198
2843824	1189
3429446	1141
2843821	1133
3429580	1131
3429583	1110
3429617	1105
3429560	1032
3429742	1031
3429599	1020
3429496	1018
2843822	1002
3429574	987
3429598	965
3429743	949
3429745	935
3429623	908
2843614	888
3429448	875
2843828	874
3429531	871
3429612	870
3429434	822
3429420	818
3429635	817
3429634	809
3429538	769
3429541	756
3429537	732
3429593	723
3429744	689
3429565	682
3429584	679
3429489	658
2843801	635
2843808	610
2843814	605
3429532	604
3429616	598
3429436	587
2843807	570
3429293	559
3429627	552
2843613	522
3429472	499
2843800	499
3429581	463
3429544	461
3429630	455
3429632	452
3429492	447
3429447	437
3429570	431
3429419	422
3429449	407
3429494	404
3429529	398
3429438	397
3429498	371
3429595	366
3429596	353
3429463	348
3429445	346
3429629	334
3429297	312
3429514	300
2843615	298
3429450	296
3429615	295
3429547	274
3429585	272
3429545	271
3429433	260
3429610	251
3429603	246
3429577	244
3429506	242
3429543	239
3429421	199
3429423	193
3429633	176
3429622	168
3429540	167
3429474	138
3429437	137
3429534	114
3429469	77
3429542	70
2846596	88041
2844826	44368
2844825	442
2843707	14238
2846445	8165
2845697	3757
2843619	3671
2844774	3455
2844720	179
2845552	1850
2845838	1803
2846170	1279
2843845	696
2844013	634
2845768	76
2844840	603779
2844839	245562
3429755	63799
2844842	28882
2844849	28182
2844852	9686
2844846	8900
2844845	8800
2844847	7714
2844851	6829
2844848	6521
2844841	4533
2844844	4315
2844843	2544
2844850	1437
2844853	925
3426028	701209
3426058	93030
2843666	33620
2843662	21513
2843664	19149
3426056	19037
2843665	18245
2843659	9637
2843660	7624
3426029	7609
2843668	7317
2843667	3179
2843661	2630
3426055	1385
2843663	1370
2844405	280259
3428987	11426
3428982	84
2843842	191044
3427455	8879
2843843	6827
3427457	5287
3427464	4693
3427444	4160
2843844	3293
3427456	2371
3427462	952
3427454	572
3427447	513
3427465	200
2846584	211538
2844312	111461
2844985	100600
2845041	81044
2845042	6313
2845043	965
3429038	23824
3429049	12865
3429052	7437
3429053	6622
3429056	6446
3429051	4701
3429063	4545
3429062	3050
3429066	1782
3429048	1661
3429050	1487
3429035	1377
3429055	992
3429060	671
3429057	637
3429043	566
3429034	456
3429058	455
3429059	388
3429039	344
3429041	337
3429045	313
3429061	296
3429067	249
3429065	211
3429037	205
3429064	139
3429042	130
